,0,1,2,3
0,19244,14761,34370,34806
1,26260,25648,6233,28883
2,6980,6931,6929,33731
3,13431,13789,2588,2589
4,6904,6903,6902,28648
5,9136,23507,13069,9143
6,23963,703,25617,26763
7,4751,20184,2555,26889
8,25115,25118,25168,25124
9,8900,27504,29631,32446
10,2184,2198,2187,33820
11,34161,31157,34586,35462
12,9910,7314,2496,7315
13,29314,27597,32401,33448
14,3090,3091,8485,27200
15,4162,448,31585,31593
16,29132,5227,33026,34209
17,10074,10067,30078,30887
18,28458,28858,29034,31037
19,24071,24078,24079,28506
20,30401,29937,33185,34207
21,14526,17851,10507,10342
22,10226,10227,30179,31256
23,715,23530,23792,32270
24,16921,22531,28673,30028
25,8493,8494,3062,30121
26,15217,14777,15792,28789
27,4597,4638,29128,31440
28,24136,24135,24126,29202
29,7830,7089,7829,7413
30,12327,30119,1602,26909
31,4096,5215,29074,30257
32,12198,3529,12225,29508
33,14539,21300,13513,21273
34,8435,8843,30423,33460
35,2590,2564,2349,2574
36,342,26420,2903,13183
37,18712,30232,31481,34123
38,3091,914,8485,27200
39,7147,7237,30919,31564
40,24309,27640,27999,34023
41,456,10217,11998,28946
42,25710,27898,33621,35322
43,26272,27478,27881,30129
44,11507,13635,20940,28403
45,6266,13504,6265,962
46,86,14105,2978,14103
47,20322,20047,20321,20064
48,13867,24771,24776,28404
49,17400,18975,18974,18976
50,8449,9038,9377,9376
51,13346,13044,13043,28405
52,2992,7944,7945,32923
53,20724,24594,24595,31518
54,4892,4724,9659,9660
55,28524,28432,29203,30883
56,12313,12317,12314,12315
57,30496,29822,30954,31837
58,4665,1196,11444,27273
59,1749,1748,241,1844
60,24476,24733,24488,31612
61,5039,5033,4003,31581
62,4562,4806,29970,642
63,19181,28397,30926,31631
64,340,2399,25750,25641
65,30492,29858,30993,31952
66,31589,28963,31671,32429
67,14034,22054,22055,31049
68,6259,22209,22211,21039
69,28506,24078,28769,29253
70,4754,26176,1606,28525
71,10601,10193,30263,31111
72,15504,16160,30608,30814
73,2666,2665,1913,28595
74,11925,11928,11926,31464
75,1847,302,14157,31100
76,14025,22027,22120,31047
77,15655,16644,6421,29806
78,28487,31178,32563,33905
79,3316,10144,30935,33517
80,9713,4126,29711,34029
81,1556,1303,30532,30896
82,30397,28409,31962,34195
83,4613,4707,29145,32420
84,9783,7470,27174,30301
85,26751,25408,33588,33598
86,5046,29281,31374,31581
87,29690,29696,30595,31692
88,2078,2030,2144,28656
89,15025,17175,33498,33573
90,4053,11944,11938,29090
91,10001,10566,10567,29433
92,9652,9645,4601,30288
93,5259,4225,30898,34944
94,14864,15619,12421,31914
95,28857,28199,33242,35504
96,10844,17383,10819,33573
97,15910,15955,12963,28423
98,8594,8596,3051,32705
99,26371,15346,14844,29062
100,26913,2428,27228,27231
101,1425,28804,1878,31574
